"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"sample_type","1","1","1","1","community","community","community","community","community","community","community","community","community","community","community","community","community","community","community","community","community","community"
"time","May","May","Oct","Oct","May","May","May","May","May","May","May","May","May","May","Oct","Oct","Oct","Oct","Oct","Oct","Oct","Oct"
"county","Oxfordshire","Yorkshire","Oxfordshire","Yorkshire","Oxfordshire","Oxfordshire","Oxfordshire","Oxfordshire","Oxfordshire","Yorkshire","Yorkshire","Yorkshire","Yorkshire","Yorkshire","Oxfordshire","Oxfordshire","Oxfordshire","Oxfordshire","Yorkshire","Yorkshire","Yorkshire","Yorkshire"
"site","1","1","1","1","AoT","RAIL","STRE","SUTT","WALL","LAWN","OAK","PEAR","THWA","UNI","AoT","KID","RAIL","WALL","BEV","OAK","THWA","UNI"
"Callipterinella","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Euceraphis","11","21"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Trombidiformes_sp._BOLD:ACI3657","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dinocampus_coccinellae","3","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ocytata_pallipes","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chironomus_nuditarsis","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chrysomelidae","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drepanosiphum_platanoidis","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Ectopsocus_californicus","0","0","0","3","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1","1","1","1"
"Eucallipterus_tiliae","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","1"
"Psocoptera","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aporrectodea_longa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clethrobius_comes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taeniothrips_inconsequens","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Acanthosoma_haemorrhoidale","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Agathomyia_unicolor","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Agriopis_marginaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alnetoidia_alneti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amphipyra_berbera","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anelosimus_vittatus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"Anoecia_corni","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthocoris_confusus","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Anthocoris_nemorum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Aphidius_salicis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aphthona_euphorbiae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"Brassicogethes_aeneus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bucculatrix_thoracella","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cacopsylla_melanoneura","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cacopsylla_peregrina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calaphis_flava","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Callipterinella_tuberculata","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameraria_ohridella","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Cantharis_decipiens","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cavariella_aegopodii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cavariella_pastinacae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cecidostiba_fungosa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cepaea_hortensis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Cepaea_nemoralis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Chaitophorus_populialbae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chrysoperla_carnea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Clubiona_brevipes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Clubiona_pallidula","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coreus_marginatus","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cortinicara_gibbosa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Crypturaphis_grassii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deraeocoris_lutescens","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Dictyna_uncinata","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dikerogammarus_villosus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ectopsocus_briggsi","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1"
"Elasmucha_grisea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"Enicmus_brevicornis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Entomobrya_nivalis","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Euceraphis_betulae","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
"Euura_poecilonota","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Glyphotaelius_pellucidus","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Graphopsocus_cruciatus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0"
"Hemerobius_micans","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hylyphantes_graminicola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Kleidocerys_resedae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lasius_niger","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lonchoptera_lutea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Longitarsus_lycopi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Macrosiphum_euphorbiae","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Metellina_segmentata","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Metriocnemus_albolineatus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neolygus_contaminatus","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oligolophus_hanseni","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Orthosia_cerasi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Orthosia_incerta","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Orthotylus_marginalis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Paidiscura_pallens","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1"
"Palomena_prasina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0"
"Pandemis_cerasana","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Panorpa_communis","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Paroligolophus_agrestis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Pentatoma_rufipes","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0"
"Periphyllus_hirticornis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Periphyllus_testudinaceus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Philodromus_aureolus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0"
"Philodromus_cespitum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Philotarsus_picicornis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phyllobius_roboretanus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phyllopertha_horticola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Piezodorus_lituratus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Plataraea_nigriceps","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Polydrusus_formosus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Polydrusus_pterygomalis","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Porcellio_scaber","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pristiphora_leucopus","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pristiphora_punctifrons","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Psallus_montanus","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Psyllopsis_fraxinicola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Rhagonycha_lignosa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhagonycha_nigriventris","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhopalosiphum_insertum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Rhopalosiphum_padi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhyzobius_chrysomeloides","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Schwenckfeldina_carbonaria","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sminthurus_viridis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Tachypodoiulus_niger","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Tenuiphantes_tenuis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Tetragnatha_pinicola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Theridion_varians","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Thrips_major","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thrips_sp._BOLD-2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tiliacea_citrago","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Trioxys_pallidus","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Tydeidae_sp._BOLD:ACI5267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Valenzuela_flavidus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1"
